AIKeywords	CorrectedAIKeywords
TOF SIMS	TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)
TISSUES	TISSUE
TOOTH FRACTURES	TOOTH FRACTURE
TRACE ELEMENT	TRACE EVIDENCE
TRACE ELEMENTS	TRACE EVIDENCE
TRACE EVIDENCE ANALYSIS	TRACE EVIDENCE
TRACE EVIDENCES	TRACE EVIDENCE
TRANSITION-EDGE SENSORS	TRANSITION-EDGE SENSOR
TRICARBOXYLIC ACIDS	TRICARBOXYLIC ACID
TRIPHENYLMETHANES	TRIPHENYLMETHANE
ULTRA-HIGH PERFORMANCE LIQUID CHROMATOGRAPHIES	ULTRA-HIGH PERFORMANCE LIQUID CHROMATOGRAPHY (UHPLC)
"SPECTROPHOTOMETRY, ULTRAVIOLET"	ULTRAVIOLET SPECTROPHOTOMETRY
ULTRAVIOLET SPECTROPHOTOMETRY	ULTRAVIOLET SPECTROSCOPY
UPLC?«ÙMS/MS	UPLC-MS/MS
VOLATILE ORGANIC COMPOUNDS	VOLATILE ORGANIC COMPOUND
WOUNDS	WOUND
X- RAY	X-RAY
X RAY	X-RAY
X RAYS	X-RAY
X RAY ABSORPTION	X-RAY ABSORPTION
X RAY ANALYSIS	X-RAY ANALYSIS
X RAY BEAM	X-RAY BEAM
X RAY DIFFRACTION	X-RAY DIFFRACTION
X RAY DOSE DISTRIBUTION	X-RAY DOSE DISTRIBUTION
"SPECTROMETRY, X-RAY EMISSION"	X-RAY EMISSION SPECTROMETRY
X-RAY EMISSION SPECTROMETRY	X-RAY EMISSION SPECTROMETRY (XES)
ENERGY DISPERSIVE X-RAY FLUORESCENCE	X-RAY ENERGY DISPERSIVE FLUORESCENCE
ENERGY DISPERSIVE X-RAY FLUORESCENCE SPECTROMETRY	X-RAY ENERGY DISPERSIVEFLUORESCENCE SPECTROMETRY
X RAY FLUORESCENCE	X-RAY FLUORESCENCE
X-RAY FLUORESCENCE	X-RAY FLUORESCENCE ANALYSIS (XRF)
X-RAY FLUORESCENCE (XRF)	X-RAY FLUORESCENCE ANALYSIS (XRF)
X-RAY FLUORESCENCE ANALYSIS	X-RAY FLUORESCENCE ANALYSIS (XRF)
X RAY FLUORESCENCE ANALYSIS	X-RAY FLUORESCENCE ANALYSIS (XRF)
X RAY FLUORESCENCE SPECTROMETRY	X-RAY FLUORESCENCE ANALYSIS (XRF)
XRAY FLUORESCENCE ANALYSIS	X-RAY FLUORESCENCE ANALYSIS (XRF)
XRF	X-RAY FLUORESCENCE ANALYSIS (XRF)
X-RAY GENERATORS	X-RAY GENERATOR
X RAY MICROANALYSIS	X-RAY MICROANALYSIS
X RAY MICRODIFFRACTION	X-RAY MICRODIFFRACTION
X-RAY MICROFLUORESCENCE	X-RAY MICROFLUORESCENCE SPECTROMETRY (MICRO-XRF)
X RAY PHOTOELECTRON SPECTROSCOPY	X-RAY PHOTOELECTRON SPECTROSCOPY (XPS)
XPS	X-RAY PHOTOELECTRON SPECTROSCOPY (XPS)
X RAY SPECTROMETRY	X-RAY SPECTROMETRY
"SPECTROSCOPY, X-RAY"	X-RAY SPECTROSCOPY
X RAY SPECTROSCOPY	X-RAY SPECTROSCOPY
ZINC	ZINC (ZN)
Z SCORES	Z-SCORES
